Orden;Nombre;Dirección;Postal;Poblacion;Municipio;Provincia;Telefono;Actividad;Aplicación;Mto.Hardware;e-mail
1;Gaviño Carabantes, Francisco;O`Donnell, 12;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
2;Farmacia Díaz-Arca CB;San Pablo, 5;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
3;Farmacia Pérez Miranda CB;Rafael Gonzalez Abreu, 7;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
4;Gonzalez Molina, Nieves;C/ Pastor y Landero nº 33;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
5;Gutiérrez Gómez de Merodio, Mª Manuela;Zaragoza, 13;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
6;Mª Auxiliadora Escalante Fernández-Palacios;Alfonso XII, 53;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
7;Melgarejo Domínguez, Luis;Tetuán, 4;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
8;Rodríguez de Moya Vera, Javier;Marques de Paradas, 53;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
9;Rojas Garcia, Manuel de;Garcia de Vinuesa, 38;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
10;Romero Mozo, Mariana;Arjona, 4;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
11;Victoria y Juan Manuel León CB;Marques de Paradas, 27;41001;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
12;Burgos Gonzalez, Magdalena;Feria, 116;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
13;Delso Santacruz, Lourdes;Jesus del Gran Poder, 14;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
14;Eguino Toscano, Leon de;Calatrava, 42;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
15;Farmacia Garcia de Cosio y Morera CB;Baños, 60-62. Esq.Goles;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
16;Galera Ruiz, María Rosa;Alameda de Hércules, 24;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
17;Holguin Matamoros, Ana;Trajano, 40;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
18;Merino Merida, Elena;Amor de Dios, 2;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
19;Pozo Cortes, Amparo del;Feria, 29;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
20;Queraltó Hernández, Natalia;Baños, 20;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
21;Rando Moral, Juan A.;Santa Clara, 53;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
22;Rodriguez Rodriguez, Socorro;Feria, 126;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
