Orden;Nombre;Direccion;Postal;Poblacion;Municipio;Provincia;Telefono;Actividad;Aplicacion;MtoHardware;e-mail
364;López Sola, Juan Antonio;Avenida Emilio Lemos, 32;41020;Sevilla Este;Sevilla;SEVILLA;;Farmacia Optica;;;
365;Acosta Pelaez, José Luis;Fuentemilanos 6 acc B, esquina c/ Barajas 7;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
366;Alonso Buenaposada, José Manuel;Milano Plomizo, local E,número 3;41020;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
367;Arias San Román, Concepción;Urb.Las Gondolas loc.1 ;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
368;Eugenia Morales Cañadas CB;El Alquian nº 9-G;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
369;Farmacia Laboratorio Menacho Herrera CB;C/ Japon nº 26, Accesoria C - Farmacia;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
370;MartÍnez RodrÍguez Colmenares, Francisco I.;Fernanda Calado Rosales, 1 acc D;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
371;Menayo Mariscal CB;Médicos sin Fronteras, 8;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
372;Moya Flores, Marta;C/ Urbano Orad, 9;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
373;Pérez Ruiz, Macarena;Av. de las Ciencias, 18 Acc.G-Urb. Entreflores;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
374;Rico Oliveros, Sofia;Flor de Retama, 2 local 6 y 7.;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
375;Rivas Díaz, Manuel;Flor de Salvia,Res.Azahares,blq.2;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
376;Sánchez Carranza, MªJosé;Cueva Menga,1,B.5,L.10 Las Góndolas M-3;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
377;Farmacia Aleste, SC;Av.de las Ciencias n. 49, Acc. F.;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
378;Farmacia Flor de Azalea CB;Flor de Azalea, 4;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
379;Cortés Jiménez, Juan Pedro;Cueva de la Pileta número 2, Blq. 10, local 19;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
380;Palma del Moral, Juan Miguel;Miguel de Unamuno, 10 acc. E;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
381;Farmacia Sevilla Este SC;Avda. de las Ciencias nº 33, accesoria Acc;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
382;Garcia Garcia, Daniel;Avd.Innovación. Edif.Minister. local 1;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
383;Blasco Lorenzo, Pilar;Urbanización La Moraleja nº 14, acc. A;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
384;Cirera Guiraum, Trinidad;Emilio Lemos nº 21;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
385;Lope Monasterio, Esther;Avd. de las Ciencias, 34. Edif. Feria de Muestras;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
386;Martínez Fernández, Dolores Auxiliadora;Edif.de la Terminal de Salida, Aeropuerto S. Pablo;41020;Aeropuerto ;Sevilla;SEVILLA;;Oficina de Farmacia;;;
387;Moreno Dominguez, Rafael;Hong-Kong, 9. Sevilla Este;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
388;Sanchez Varilla, Josefa;Hockey, 24. Urb. Cortijo Guzman, 64;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
389;Rodriguez Villalba, Juan J.;Eufrates n. 5 acc. D (Urb.Jardines del Edén);41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
